CODE_LOGIN;LOGIN;NOM_PRENOM;PROFIL;DATE_CREATION;ETAT_USER;DATE_DESACTIVATION;DATE_DERNIERE_CONNECTION_1;SITE_AGENCE
10059;user00000059;Jade Michel;PROFIL_D;09/12/2021;ACTIF;;09/03/2022;Siege
10060;user00000060;Jean Dupont;PROFIL_A;11/05/2020;DESACTIVE;22/10/2022 00:00:00;06/01/2023;Agence Alpha
10061;user00000061;Marie Martin;PROFIL_B;05/02/2018;ACTIF;;01/11/2024;Agence Beta
10062;user00000062;Paul Bernard;PROFIL_C;17/12/2015;ACTIF;;14/07/2022;Agence Gamma
10063;user00000063;Sophie Thomas;PROFIL_D;06/06/2018;DESACTIVE;20/10/2023 00:00:00;24/05/2023;Agence Delta
10064;user00000064;Lucas Petit;PROFIL_A;05/01/2015;ACTIF;;02/10/2022;Siege
10065;user00000065;Emma Leroy;PROFIL_B;09/02/2020;ACTIF;;14/11/2023;Agence Alpha
10066;user00000066;Noah Moreau;PROFIL_C;15/10/2018;DESACTIVE;12/02/2024 00:00:00;07/05/2023;Agence Beta
10067;user00000067;Chloé Laurent;PROFIL_D;10/02/2018;ACTIF;;19/11/2024;Agence Gamma
10068;user00000068;Liam Simon;PROFIL_A;22/09/2018;ACTIF;;08/01/2023;Agence Delta
10069;user00000069;Jade Michel;PROFIL_B;02/10/2018;DESACTIVE;25/03/2022 00:00:00;10/04/2022;Siege
10070;user00000070;Jean Dupont;PROFIL_C;11/05/2017;ACTIF;;16/01/2022;Agence Alpha
10071;user00000071;Marie Martin;PROFIL_D;06/07/2020;ACTIF;;18/07/2022;Agence Beta
10072;user00000072;Paul Bernard;PROFIL_A;17/04/2020;DESACTIVE;13/02/2023 00:00:00;26/11/2024;Agence Gamma
10073;user00000073;Sophie Thomas;PROFIL_B;02/12/2021;ACTIF;;15/01/2023;Agence Delta
10074;user00000074;Lucas Petit;PROFIL_C;19/06/2015;ACTIF;;13/10/2023;Siege
10075;user00000075;Emma Leroy;PROFIL_D;14/11/2020;DESACTIVE;06/06/2022 00:00:00;13/02/2023;Agence Alpha
10076;user00000076;Noah Moreau;PROFIL_A;15/10/2021;ACTIF;;03/06/2024;Agence Beta
10077;user00000077;Chloé Laurent;PROFIL_B;08/02/2018;ACTIF;;13/10/2023;Agence Gamma
10078;user00000078;Liam Simon;PROFIL_C;13/02/2019;DESACTIVE;25/06/2022 00:00:00;11/12/2023;Agence Delta
10079;user00000079;Jade Michel;PROFIL_D;17/02/2016;ACTIF;;17/02/2024;Siege
10080;user00000080;Jean Dupont;PROFIL_A;25/04/2019;ACTIF;;24/06/2023;Agence Alpha
10081;user00000081;Marie Martin;PROFIL_B;27/11/2021;DESACTIVE;07/05/2022 00:00:00;04/04/2022;Agence Beta
10082;user00000082;Paul Bernard;PROFIL_C;05/10/2016;ACTIF;;06/02/2024;Agence Gamma
10083;user00000083;Sophie Thomas;PROFIL_D;16/11/2021;ACTIF;;25/10/2023;Agence Delta
10084;user00000084;Lucas Petit;PROFIL_A;22/08/2019;DESACTIVE;28/06/2024 00:00:00;21/11/2024;Siege
10085;user00000085;Emma Leroy;PROFIL_B;05/06/2020;ACTIF;;16/02/2023;Agence Alpha
10086;user00000086;Noah Moreau;PROFIL_C;10/11/2018;ACTIF;;02/10/2023;Agence Beta
10087;user00000087;Chloé Laurent;PROFIL_D;03/09/2017;DESACTIVE;12/01/2022 00:00:00;15/08/2023;Agence Gamma
10088;user00000088;Liam Simon;PROFIL_A;03/05/2021;ACTIF;;20/02/2024;Agence Delta
10089;user00000089;Jade Michel;PROFIL_B;13/09/2019;ACTIF;;18/10/2023;Siege
10090;user00000090;Jean Dupont;PROFIL_C;02/12/2021;DESACTIVE;20/06/2022 00:00:00;21/10/2023;Agence Alpha
10091;user00000091;Marie Martin;PROFIL_D;05/09/2018;ACTIF;;04/08/2022;Agence Beta
10092;user00000092;Paul Bernard;PROFIL_A;23/06/2021;ACTIF;;21/09/2022;Agence Gamma
10093;user00000093;Sophie Thomas;PROFIL_B;08/01/2016;DESACTIVE;20/09/2024 00:00:00;15/08/2024;Agence Delta
10094;user00000094;Lucas Petit;PROFIL_C;12/06/2016;ACTIF;;14/07/2023;Siege
10095;user00000095;Emma Leroy;PROFIL_D;22/06/2021;ACTIF;;26/01/2024;Agence Alpha
10096;user00000096;Noah Moreau;PROFIL_A;11/11/2020;DESACTIVE;13/11/2024 00:00:00;04/06/2022;Agence Beta
10097;user00000097;Chloé Laurent;PROFIL_B;24/05/2017;ACTIF;;28/10/2024;Agence Gamma
10098;user00000098;Liam Simon;PROFIL_C;03/06/2016;ACTIF;;05/11/2024;Agence Delta
10099;user00000099;Jade Michel;PROFIL_D;21/05/2017;DESACTIVE;23/10/2022 00:00:00;13/11/2024;Siege
10100;user00000100;Jean Dupont;PROFIL_A;18/05/2015;ACTIF;;26/11/2023;Agence Alpha
10101;user00000101;Marie Martin;PROFIL_B;22/03/2017;ACTIF;;22/12/2024;Agence Beta
10102;user00000102;Paul Bernard;PROFIL_C;21/02/2019;DESACTIVE;12/01/2023 00:00:00;17/07/2024;Agence Gamma
10103;user00000103;Sophie Thomas;PROFIL_D;07/03/2017;ACTIF;;07/08/2023;Agence Delta
10104;user00000104;Lucas Petit;PROFIL_A;05/03/2016;ACTIF;;28/05/2022;Siege
10105;user00000105;Emma Leroy;PROFIL_B;17/02/2021;DESACTIVE;11/11/2022 00:00:00;17/12/2024;Agence Alpha
10106;user00000106;Noah Moreau;PROFIL_C;05/10/2021;ACTIF;;05/07/2024;Agence Beta
10107;user00000107;Chloé Laurent;PROFIL_D;27/03/2016;ACTIF;;26/10/2024;Agence Gamma
10108;user00000108;Liam Simon;PROFIL_A;15/12/2016;DESACTIVE;08/12/2024 00:00:00;12/07/2022;Agence Delta
10109;user00000109;Jade Michel;PROFIL_B;10/10/2018;ACTIF;;08/08/2024;Siege
10110;user00000110;Jean Dupont;PROFIL_C;10/04/2019;ACTIF;;12/04/2023;Agence Alpha
10111;user00000111;Marie Martin;PROFIL_D;15/10/2020;DESACTIVE;17/09/2023 00:00:00;25/05/2023;Agence Beta
10112;user00000112;Paul Bernard;PROFIL_A;27/03/2018;ACTIF;;05/10/2022;Agence Gamma
10113;user00000113;Sophie Thomas;PROFIL_B;02/05/2021;ACTIF;;28/08/2024;Agence Delta
10114;user00000114;Lucas Petit;PROFIL_C;04/09/2017;DESACTIVE;03/05/2022 00:00:00;28/09/2024;Siege
10115;user00000115;Emma Leroy;PROFIL_D;09/03/2021;ACTIF;;05/09/2023;Agence Alpha
10116;user00000116;Noah Moreau;PROFIL_A;03/07/2021;ACTIF;;12/08/2022;Agence Beta
10117;user00000117;Chloé Laurent;PROFIL_B;02/07/2015;DESACTIVE;03/07/2022 00:00:00;12/09/2023;Agence Gamma
10118;user00000118;Liam Simon;PROFIL_C;01/04/2017;ACTIF;;27/02/2023;Agence Delta
10119;user00000119;Jade Michel;PROFIL_D;11/11/2020;ACTIF;;02/03/2022;Siege
10120;user00000120;Jean Dupont;PROFIL_A;23/08/2017;DESACTIVE;01/10/2023 00:00:00;16/12/2022;Agence Alpha
10121;user00000121;Marie Martin;PROFIL_B;09/01/2015;ACTIF;;18/03/2022;Agence Beta
10122;user00000122;Paul Bernard;PROFIL_C;17/10/2020;ACTIF;;25/02/2023;Agence Gamma
10123;user00000123;Sophie Thomas;PROFIL_D;10/04/2017;DESACTIVE;26/11/2023 00:00:00;08/01/2022;Agence Delta
10124;user00000124;Lucas Petit;PROFIL_A;03/08/2019;ACTIF;;20/08/2022;Siege
10125;user00000125;Emma Leroy;PROFIL_B;21/01/2019;ACTIF;;08/10/2024;Agence Alpha
10126;user00000126;Noah Moreau;PROFIL_C;10/03/2020;DESACTIVE;19/04/2023 00:00:00;20/01/2023;Agence Beta
10127;user00000127;Chloé Laurent;PROFIL_D;22/03/2018;ACTIF;;17/02/2024;Agence Gamma
10128;user00000128;Liam Simon;PROFIL_A;17/02/2017;ACTIF;;26/09/2024;Agence Delta
10129;user00000129;Jade Michel;PROFIL_B;01/09/2019;DESACTIVE;12/07/2024 00:00:00;02/08/2023;Siege
10130;user00000130;Jean Dupont;PROFIL_C;01/12/2017;ACTIF;;12/02/2023;Agence Alpha
10131;user00000131;Marie Martin;PROFIL_D;22/12/2016;ACTIF;;25/02/2024;Agence Beta
10132;user00000132;Paul Bernard;PROFIL_A;25/12/2019;DESACTIVE;11/09/2023 00:00:00;02/03/2023;Agence Gamma
10133;user00000133;Sophie Thomas;PROFIL_B;06/11/2021;ACTIF;;23/08/2024;Agence Delta
10134;user00000134;Lucas Petit;PROFIL_C;06/11/2018;ACTIF;;23/02/2022;Siege
10135;user00000135;Emma Leroy;PROFIL_D;02/08/2021;DESACTIVE;11/01/2022 00:00:00;02/04/2023;Agence Alpha
10136;user00000136;Noah Moreau;PROFIL_A;13/09/2017;ACTIF;;09/08/2024;Agence Beta
10137;user00000137;Chloé Laurent;PROFIL_B;07/11/2015;ACTIF;;28/06/2023;Agence Gamma
10138;user00000138;Liam Simon;PROFIL_C;28/01/2021;DESACTIVE;14/06/2022 00:00:00;09/06/2024;Agence Delta
10139;user00000139;Jade Michel;PROFIL_D;15/12/2018;ACTIF;;06/06/2023;Siege
10140;user00000140;Jean Dupont;PROFIL_A;16/12/2018;ACTIF;;09/09/2023;Agence Alpha
10141;user00000141;Marie Martin;PROFIL_B;24/02/2021;DESACTIVE;18/03/2024 00:00:00;14/02/2023;Agence Beta
10142;user00000142;Paul Bernard;PROFIL_C;04/06/2017;ACTIF;;22/06/2022;Agence Gamma
10143;user00000143;Sophie Thomas;PROFIL_D;15/05/2017;ACTIF;;14/12/2024;Agence Delta
10144;user00000144;Lucas Petit;PROFIL_A;15/12/2016;DESACTIVE;20/06/2024 00:00:00;02/08/2023;Siege
10145;user00000145;Emma Leroy;PROFIL_B;21/05/2018;ACTIF;;22/02/2022;Agence Alpha
10146;user00000146;Noah Moreau;PROFIL_C;12/07/2020;ACTIF;;22/12/2024;Agence Beta
10147;user00000147;Chloé Laurent;PROFIL_D;05/01/2016;DESACTIVE;05/01/2023 00:00:00;26/11/2024;Agence Gamma
10148;user00000148;Liam Simon;PROFIL_A;25/04/2015;ACTIF;;12/06/2024;Agence Delta
10149;user00000149;Jade Michel;PROFIL_B;02/10/2018;ACTIF;;22/03/2024;Siege
10150;user00000150;Jean Dupont;PROFIL_C;12/06/2018;DESACTIVE;12/09/2022 00:00:00;19/02/2023;Agence Alpha
10151;user00000151;Marie Martin;PROFIL_D;21/06/2018;ACTIF;;04/04/2023;Agence Beta
10152;user00000152;Paul Bernard;PROFIL_A;06/12/2015;ACTIF;;13/09/2023;Agence Gamma
10153;user00000153;Sophie Thomas;PROFIL_B;09/02/2019;DESACTIVE;10/10/2022 00:00:00;15/12/2023;Agence Delta
10154;user00000154;Lucas Petit;PROFIL_C;07/08/2020;ACTIF;;28/03/2022;Siege
10155;user00000155;Emma Leroy;PROFIL_D;06/08/2015;ACTIF;;03/08/2024;Agence Alpha
10156;user00000156;Noah Moreau;PROFIL_A;28/11/2021;DESACTIVE;18/02/2024 00:00:00;12/11/2023;Agence Beta
10157;user00000157;Chloé Laurent;PROFIL_B;10/05/2019;ACTIF;;23/12/2022;Agence Gamma
10158;user00000158;Liam Simon;PROFIL_C;06/11/2020;ACTIF;;08/09/2023;Agence Delta
10159;user00000159;Jade Michel;PROFIL_D;26/04/2015;DESACTIVE;12/01/2023 00:00:00;26/04/2022;Siege
10160;user00000160;Jean Dupont;PROFIL_A;12/10/2019;ACTIF;;05/09/2023;Agence Alpha
10161;user00000161;Marie Martin;PROFIL_B;03/02/2019;ACTIF;;23/07/2023;Agence Beta
10162;user00000162;Paul Bernard;PROFIL_C;17/08/2020;DESACTIVE;05/02/2024 00:00:00;27/07/2023;Agence Gamma
10163;user00000163;Sophie Thomas;PROFIL_D;03/11/2017;ACTIF;;22/08/2023;Agence Delta
10164;user00000164;Lucas Petit;PROFIL_A;05/06/2019;ACTIF;;19/11/2024;Siege
10165;user00000165;Emma Leroy;PROFIL_B;14/03/2016;DESACTIVE;05/09/2022 00:00:00;27/01/2024;Agence Alpha
10166;user00000166;Noah Moreau;PROFIL_C;06/03/2017;ACTIF;;08/12/2023;Agence Beta
10167;user00000167;Chloé Laurent;PROFIL_D;10/09/2017;ACTIF;;07/05/2022;Agence Gamma
10168;user00000168;Liam Simon;PROFIL_A;09/09/2020;DESACTIVE;03/09/2024 00:00:00;10/11/2022;Agence Delta
10169;user00000169;Jade Michel;PROFIL_B;06/11/2019;ACTIF;;05/10/2024;Siege
10170;user00000170;Jean Dupont;PROFIL_C;20/11/2016;ACTIF;;11/10/2024;Agence Alpha
10171;user00000171;Marie Martin;PROFIL_D;02/10/2021;DESACTIVE;09/10/2024 00:00:00;02/02/2022;Agence Beta
10172;user00000172;Paul Bernard;PROFIL_A;25/04/2020;ACTIF;;20/07/2024;Agence Gamma
10173;user00000173;Sophie Thomas;PROFIL_B;16/01/2020;ACTIF;;10/09/2024;Agence Delta
10174;user00000174;Lucas Petit;PROFIL_C;16/05/2020;DESACTIVE;03/08/2023 00:00:00;13/11/2022;Siege
10175;user00000175;Emma Leroy;PROFIL_D;06/01/2020;ACTIF;;16/07/2023;Agence Alpha
10176;user00000176;Noah Moreau;PROFIL_A;11/04/2018;ACTIF;;11/03/2024;Agence Beta
10177;user00000177;Chloé Laurent;PROFIL_B;11/12/2021;DESACTIVE;17/06/2022 00:00:00;13/06/2024;Agence Gamma
10178;user00000178;Liam Simon;PROFIL_C;11/02/2019;ACTIF;;04/08/2022;Agence Delta
10179;user00000179;Jade Michel;PROFIL_D;08/08/2017;ACTIF;;02/02/2022;Siege
10180;user00000180;Jean Dupont;PROFIL_A;28/07/2017;DESACTIVE;19/06/2022 00:00:00;08/07/2024;Agence Alpha
10181;user00000181;Marie Martin;PROFIL_B;07/06/2020;ACTIF;;17/08/2022;Agence Beta
10182;user00000182;Paul Bernard;PROFIL_C;10/08/2018;ACTIF;;03/01/2023;Agence Gamma
10183;user00000183;Sophie Thomas;PROFIL_D;15/09/2018;DESACTIVE;02/01/2023 00:00:00;19/04/2022;Agence Delta
10184;user00000184;Lucas Petit;PROFIL_A;20/08/2017;ACTIF;;16/11/2024;Siege
10185;user00000185;Emma Leroy;PROFIL_B;01/09/2017;ACTIF;;05/07/2022;Agence Alpha
10186;user00000186;Noah Moreau;PROFIL_C;12/12/2017;DESACTIVE;19/01/2023 00:00:00;02/06/2023;Agence Beta
10187;user00000187;Chloé Laurent;PROFIL_D;12/04/2019;ACTIF;;03/05/2024;Agence Gamma
10188;user00000188;Liam Simon;PROFIL_A;15/09/2018;ACTIF;;27/05/2024;Agence Delta
10189;user00000189;Jade Michel;PROFIL_B;20/11/2019;DESACTIVE;26/06/2023 00:00:00;04/03/2022;Siege
10190;user00000190;Jean Dupont;PROFIL_C;12/09/2017;ACTIF;;20/04/2022;Agence Alpha
10191;user00000191;Marie Martin;PROFIL_D;17/07/2019;ACTIF;;02/01/2022;Agence Beta
10192;user00000192;Paul Bernard;PROFIL_A;11/12/2016;DESACTIVE;17/10/2022 00:00:00;15/09/2023;Agence Gamma
10193;user00000193;Sophie Thomas;PROFIL_B;20/06/2016;ACTIF;;13/03/2023;Agence Delta
10194;user00000194;Lucas Petit;PROFIL_C;27/12/2019;ACTIF;;11/10/2023;Siege
10195;user00000195;Emma Leroy;PROFIL_D;18/09/2019;DESACTIVE;27/08/2023 00:00:00;19/12/2023;Agence Alpha
10196;user00000196;Noah Moreau;PROFIL_A;11/06/2015;ACTIF;;14/02/2024;Agence Beta
10197;user00000197;Chloé Laurent;PROFIL_B;26/05/2019;ACTIF;;21/12/2024;Agence Gamma
10198;user00000198;Liam Simon;PROFIL_C;16/10/2015;DESACTIVE;08/10/2024 00:00:00;26/11/2023;Agence Delta
10199;user00000199;Jade Michel;PROFIL_D;19/01/2020;ACTIF;;17/03/2023;Siege
