CODE_LOGIN;LOGIN;NOM_PRENOM;PROFIL;DATE_CREATION;ETAT_USER;DATE_DESACTIVATION;DATE_DERNIERE_CONNECTION_1;SITE_AGENCE
10022;user00000022;Paul Bernard;PROFIL_C;07/20/2020;ACTIF;;07/13/2022;Agence Gamma
10023;user00000023;Sophie Thomas;PROFIL_D;08/17/2019;ACTIF;;09/28/2023;Agence Delta
10024;user00000024;Lucas Petit;PROFIL_A;11/24/2015;DESACTIVE;11/11/2023 00:00:00;11/18/2022;Siege
10025;user00000025;Emma Leroy;PROFIL_B;05/14/2015;ACTIF;;08/01/2022;Agence Alpha
10026;user00000026;Noah Moreau;PROFIL_C;12/09/2020;ACTIF;;03/17/2024;Agence Beta
10027;user00000027;Chloé Laurent;PROFIL_D;11/10/2015;DESACTIVE;03/12/2022 00:00:00;09/20/2024;Agence Gamma
10028;user00000028;Liam Simon;PROFIL_A;03/18/2021;ACTIF;;01/20/2024;Agence Delta
10029;user00000029;Jade Michel;PROFIL_B;08/01/2017;ACTIF;;06/27/2022;Siege
10030;user00000030;Jean Dupont;PROFIL_C;05/08/2021;DESACTIVE;02/24/2022 00:00:00;04/19/2022;Agence Alpha
10031;user00000031;Marie Martin;PROFIL_D;02/25/2018;ACTIF;;03/05/2024;Agence Beta
10032;user00000032;Paul Bernard;PROFIL_A;08/18/2020;ACTIF;;05/17/2022;Agence Gamma
10033;user00000033;Sophie Thomas;PROFIL_B;10/14/2021;DESACTIVE;12/07/2024 00:00:00;09/25/2022;Agence Delta
10034;user00000034;Lucas Petit;PROFIL_C;05/13/2020;ACTIF;;11/12/2024;Siege
10035;user00000035;Emma Leroy;PROFIL_D;09/15/2018;ACTIF;;04/08/2022;Agence Alpha
10036;user00000036;Noah Moreau;PROFIL_A;06/01/2015;DESACTIVE;04/01/2024 00:00:00;09/08/2024;Agence Beta
10037;user00000037;Chloé Laurent;PROFIL_B;12/21/2015;ACTIF;;04/03/2022;Agence Gamma
10038;user00000038;Liam Simon;PROFIL_C;06/03/2015;ACTIF;;04/09/2024;Agence Delta
10039;user00000039;Jade Michel;PROFIL_D;08/07/2020;DESACTIVE;10/16/2024 00:00:00;03/24/2024;Siege
10040;user00000040;Jean Dupont;PROFIL_A;08/26/2016;ACTIF;;04/04/2023;Agence Alpha
10041;user00000041;Marie Martin;PROFIL_B;11/14/2015;ACTIF;;07/14/2023;Agence Beta
10042;user00000042;Paul Bernard;PROFIL_C;12/02/2018;DESACTIVE;01/13/2022 00:00:00;11/21/2024;Agence Gamma
10043;user00000043;Sophie Thomas;PROFIL_D;06/26/2020;ACTIF;;04/07/2022;Agence Delta
10044;user00000044;Lucas Petit;PROFIL_A;09/15/2016;ACTIF;;07/06/2022;Siege
10045;user00000045;Emma Leroy;PROFIL_B;08/08/2017;DESACTIVE;02/02/2024 00:00:00;08/26/2022;Agence Alpha
10046;user00000046;Noah Moreau;PROFIL_C;09/27/2020;ACTIF;;02/25/2022;Agence Beta
10047;user00000047;Chloé Laurent;PROFIL_D;04/06/2021;ACTIF;;08/16/2023;Agence Gamma
10048;user00000048;Liam Simon;PROFIL_A;07/02/2016;DESACTIVE;05/26/2023 00:00:00;07/01/2022;Agence Delta
10049;user00000049;Jade Michel;PROFIL_B;08/10/2021;ACTIF;;12/24/2023;Siege
10050;user00000050;Jean Dupont;PROFIL_C;09/22/2021;ACTIF;;08/05/2024;Agence Alpha
10051;user00000051;Marie Martin;PROFIL_D;05/07/2016;DESACTIVE;01/24/2024 00:00:00;10/24/2022;Agence Beta
10052;user00000052;Paul Bernard;PROFIL_A;01/02/2017;ACTIF;;08/17/2024;Agence Gamma
10053;user00000053;Sophie Thomas;PROFIL_B;09/06/2021;ACTIF;;09/03/2022;Agence Delta
10054;user00000054;Lucas Petit;PROFIL_C;03/03/2021;DESACTIVE;07/04/2022 00:00:00;02/22/2024;Siege
10055;user00000055;Emma Leroy;PROFIL_D;04/19/2019;ACTIF;;01/20/2024;Agence Alpha
10056;user00000056;Noah Moreau;PROFIL_A;07/22/2015;ACTIF;;10/17/2024;Agence Beta
10057;user00000057;Chloé Laurent;PROFIL_B;05/07/2017;DESACTIVE;05/13/2022 00:00:00;12/11/2024;Agence Gamma
10058;user00000058;Liam Simon;PROFIL_C;11/21/2016;ACTIF;;08/11/2023;Agence Delta
10059;user00000059;Jade Michel;PROFIL_D;02/01/2021;ACTIF;;10/19/2023;Siege
10060;user00000060;Jean Dupont;PROFIL_A;02/18/2015;DESACTIVE;06/03/2022 00:00:00;09/09/2022;Agence Alpha
10061;user00000061;Marie Martin;PROFIL_B;06/10/2016;ACTIF;;08/27/2022;Agence Beta
10062;user00000062;Paul Bernard;PROFIL_C;12/10/2019;ACTIF;;11/17/2024;Agence Gamma
10063;user00000063;Sophie Thomas;PROFIL_D;11/27/2015;DESACTIVE;03/09/2022 00:00:00;05/22/2024;Agence Delta
10064;user00000064;Lucas Petit;PROFIL_A;02/24/2015;ACTIF;;03/09/2024;Siege
10065;user00000065;Emma Leroy;PROFIL_B;10/07/2017;ACTIF;;06/07/2024;Agence Alpha
10066;user00000066;Noah Moreau;PROFIL_C;11/28/2020;DESACTIVE;01/03/2023 00:00:00;09/16/2023;Agence Beta
10067;user00000067;Chloé Laurent;PROFIL_D;07/27/2020;ACTIF;;01/01/2023;Agence Gamma
10068;user00000068;Liam Simon;PROFIL_A;03/21/2017;ACTIF;;03/24/2023;Agence Delta
10069;user00000069;Jade Michel;PROFIL_B;09/23/2018;DESACTIVE;02/23/2022 00:00:00;09/01/2023;Siege
10070;user00000070;Jean Dupont;PROFIL_C;09/02/2016;ACTIF;;10/18/2023;Agence Alpha
10071;user00000071;Marie Martin;PROFIL_D;07/05/2016;ACTIF;;05/12/2022;Agence Beta
10072;user00000072;Paul Bernard;PROFIL_A;01/12/2021;DESACTIVE;02/12/2024 00:00:00;11/08/2022;Agence Gamma
10073;user00000073;Sophie Thomas;PROFIL_B;09/28/2021;ACTIF;;10/24/2023;Agence Delta
10074;user00000074;Lucas Petit;PROFIL_C;04/28/2016;ACTIF;;03/14/2022;Siege
10075;user00000075;Emma Leroy;PROFIL_D;03/24/2015;DESACTIVE;12/26/2024 00:00:00;07/26/2023;Agence Alpha
10076;user00000076;Noah Moreau;PROFIL_A;05/06/2016;ACTIF;;02/13/2024;Agence Beta
10077;user00000077;Chloé Laurent;PROFIL_B;01/28/2021;ACTIF;;04/07/2023;Agence Gamma
10078;user00000078;Liam Simon;PROFIL_C;08/12/2021;DESACTIVE;11/07/2022 00:00:00;04/08/2023;Agence Delta
10079;user00000079;Jade Michel;PROFIL_D;06/09/2018;ACTIF;;05/12/2022;Siege
10080;user00000080;Jean Dupont;PROFIL_A;09/13/2020;ACTIF;;09/11/2024;Agence Alpha
10081;user00000081;Marie Martin;PROFIL_B;02/09/2015;DESACTIVE;02/20/2022 00:00:00;10/09/2022;Agence Beta
10082;user00000082;Paul Bernard;PROFIL_C;06/24/2018;ACTIF;;07/20/2023;Agence Gamma
10083;user00000083;Sophie Thomas;PROFIL_D;02/13/2019;ACTIF;;04/09/2024;Agence Delta
10084;user00000084;Lucas Petit;PROFIL_A;12/14/2015;DESACTIVE;11/24/2024 00:00:00;09/26/2022;Siege
10085;user00000085;Emma Leroy;PROFIL_B;12/22/2020;ACTIF;;06/14/2022;Agence Alpha
10086;user00000086;Noah Moreau;PROFIL_C;11/11/2015;ACTIF;;06/22/2024;Agence Beta
10087;user00000087;Chloé Laurent;PROFIL_D;02/24/2021;DESACTIVE;07/11/2024 00:00:00;09/10/2023;Agence Gamma
10088;user00000088;Liam Simon;PROFIL_A;12/10/2018;ACTIF;;03/07/2024;Agence Delta
10089;user00000089;Jade Michel;PROFIL_B;11/13/2018;ACTIF;;12/06/2024;Siege
10090;user00000090;Jean Dupont;PROFIL_C;10/10/2019;DESACTIVE;05/10/2022 00:00:00;09/27/2023;Agence Alpha
10091;user00000091;Marie Martin;PROFIL_D;07/26/2016;ACTIF;;10/21/2024;Agence Beta
10092;user00000092;Paul Bernard;PROFIL_A;08/15/2017;ACTIF;;11/07/2023;Agence Gamma
10093;user00000093;Sophie Thomas;PROFIL_B;08/26/2019;DESACTIVE;05/17/2022 00:00:00;03/22/2024;Agence Delta
10094;user00000094;Lucas Petit;PROFIL_C;11/20/2020;ACTIF;;02/27/2023;Siege
10095;user00000095;Emma Leroy;PROFIL_D;04/22/2021;ACTIF;;04/26/2023;Agence Alpha
10096;user00000096;Noah Moreau;PROFIL_A;03/01/2016;DESACTIVE;02/15/2024 00:00:00;04/16/2022;Agence Beta
10097;user00000097;Chloé Laurent;PROFIL_B;11/19/2018;ACTIF;;12/23/2022;Agence Gamma
10098;user00000098;Liam Simon;PROFIL_C;08/13/2018;ACTIF;;03/21/2022;Agence Delta
10099;user00000099;Jade Michel;PROFIL_D;01/25/2020;DESACTIVE;12/17/2022 00:00:00;07/08/2022;Siege
10100;user00000100;Jean Dupont;PROFIL_A;01/18/2018;ACTIF;;02/15/2022;Agence Alpha
10101;user00000101;Marie Martin;PROFIL_B;08/22/2016;ACTIF;;09/20/2024;Agence Beta
10102;user00000102;Paul Bernard;PROFIL_C;08/20/2017;DESACTIVE;08/06/2024 00:00:00;09/14/2024;Agence Gamma
10103;user00000103;Sophie Thomas;PROFIL_D;08/15/2020;ACTIF;;04/27/2023;Agence Delta
10104;user00000104;Lucas Petit;PROFIL_A;05/25/2020;ACTIF;;08/21/2024;Siege
10105;user00000105;Emma Leroy;PROFIL_B;05/15/2016;DESACTIVE;05/11/2022 00:00:00;12/10/2022;Agence Alpha
10106;user00000106;Noah Moreau;PROFIL_C;09/03/2017;ACTIF;;03/08/2022;Agence Beta
10107;user00000107;Chloé Laurent;PROFIL_D;12/05/2018;ACTIF;;04/03/2024;Agence Gamma
10108;user00000108;Liam Simon;PROFIL_A;07/11/2018;DESACTIVE;04/27/2022 00:00:00;08/14/2024;Agence Delta
10109;user00000109;Jade Michel;PROFIL_B;07/25/2018;ACTIF;;12/01/2024;Siege
10110;user00000110;Jean Dupont;PROFIL_C;10/13/2021;ACTIF;;01/12/2023;Agence Alpha
10111;user00000111;Marie Martin;PROFIL_D;07/28/2017;DESACTIVE;09/26/2024 00:00:00;09/24/2023;Agence Beta
10112;user00000112;Paul Bernard;PROFIL_A;04/16/2019;ACTIF;;05/14/2022;Agence Gamma
10113;user00000113;Sophie Thomas;PROFIL_B;01/13/2018;ACTIF;;11/22/2023;Agence Delta
10114;user00000114;Lucas Petit;PROFIL_C;07/24/2021;DESACTIVE;09/01/2024 00:00:00;08/05/2022;Siege
10115;user00000115;Emma Leroy;PROFIL_D;10/19/2018;ACTIF;;01/03/2024;Agence Alpha
10116;user00000116;Noah Moreau;PROFIL_A;07/05/2020;ACTIF;;03/02/2023;Agence Beta
10117;user00000117;Chloé Laurent;PROFIL_B;07/11/2017;DESACTIVE;07/09/2023 00:00:00;08/11/2022;Agence Gamma
10118;user00000118;Liam Simon;PROFIL_C;07/09/2021;ACTIF;;08/01/2022;Agence Delta
10119;user00000119;Jade Michel;PROFIL_D;09/02/2020;ACTIF;;04/21/2023;Siege
10120;user00000120;Jean Dupont;PROFIL_A;11/02/2015;DESACTIVE;10/05/2022 00:00:00;04/07/2022;Agence Alpha
10121;user00000121;Marie Martin;PROFIL_B;03/16/2016;ACTIF;;02/19/2024;Agence Beta
10122;user00000122;Paul Bernard;PROFIL_C;08/23/2016;ACTIF;;06/06/2023;Agence Gamma
10123;user00000123;Sophie Thomas;PROFIL_D;10/24/2019;DESACTIVE;05/04/2022 00:00:00;02/25/2024;Agence Delta
10124;user00000124;Lucas Petit;PROFIL_A;01/10/2019;ACTIF;;11/13/2024;Siege
10125;user00000125;Emma Leroy;PROFIL_B;12/07/2018;ACTIF;;10/23/2022;Agence Alpha
10126;user00000126;Noah Moreau;PROFIL_C;11/08/2021;DESACTIVE;11/20/2023 00:00:00;12/25/2022;Agence Beta
10127;user00000127;Chloé Laurent;PROFIL_D;02/26/2021;ACTIF;;01/12/2024;Agence Gamma
10128;user00000128;Liam Simon;PROFIL_A;07/22/2019;ACTIF;;02/17/2023;Agence Delta
10129;user00000129;Jade Michel;PROFIL_B;06/01/2020;DESACTIVE;06/21/2023 00:00:00;08/04/2023;Siege
10130;user00000130;Jean Dupont;PROFIL_C;08/23/2021;ACTIF;;07/06/2022;Agence Alpha
10131;user00000131;Marie Martin;PROFIL_D;09/21/2020;ACTIF;;10/26/2023;Agence Beta
10132;user00000132;Paul Bernard;PROFIL_A;08/15/2019;DESACTIVE;06/28/2023 00:00:00;12/19/2023;Agence Gamma
10133;user00000133;Sophie Thomas;PROFIL_B;02/09/2016;ACTIF;;04/25/2023;Agence Delta
10134;user00000134;Lucas Petit;PROFIL_C;10/20/2018;ACTIF;;07/11/2024;Siege
10135;user00000135;Emma Leroy;PROFIL_D;08/28/2015;DESACTIVE;06/26/2022 00:00:00;03/16/2023;Agence Alpha
10136;user00000136;Noah Moreau;PROFIL_A;06/09/2017;ACTIF;;12/09/2024;Agence Beta
10137;user00000137;Chloé Laurent;PROFIL_B;01/17/2019;ACTIF;;02/08/2022;Agence Gamma
10138;user00000138;Liam Simon;PROFIL_C;07/16/2020;DESACTIVE;11/23/2023 00:00:00;04/23/2024;Agence Delta
10139;user00000139;Jade Michel;PROFIL_D;08/26/2018;ACTIF;;02/10/2022;Siege
10140;user00000140;Jean Dupont;PROFIL_A;07/23/2016;ACTIF;;05/22/2022;Agence Alpha
10141;user00000141;Marie Martin;PROFIL_B;06/16/2019;DESACTIVE;12/18/2023 00:00:00;09/12/2024;Agence Beta
10142;user00000142;Paul Bernard;PROFIL_C;06/23/2017;ACTIF;;05/10/2023;Agence Gamma
10143;user00000143;Sophie Thomas;PROFIL_D;04/04/2017;ACTIF;;04/11/2024;Agence Delta
10144;user00000144;Lucas Petit;PROFIL_A;12/18/2015;DESACTIVE;12/16/2022 00:00:00;03/07/2024;Siege
10145;user00000145;Emma Leroy;PROFIL_B;12/19/2017;ACTIF;;10/10/2024;Agence Alpha
10146;user00000146;Noah Moreau;PROFIL_C;04/10/2015;ACTIF;;06/06/2022;Agence Beta
10147;user00000147;Chloé Laurent;PROFIL_D;01/23/2017;DESACTIVE;01/18/2022 00:00:00;03/09/2024;Agence Gamma
10148;user00000148;Liam Simon;PROFIL_A;12/05/2017;ACTIF;;08/04/2024;Agence Delta
10149;user00000149;Jade Michel;PROFIL_B;01/19/2021;ACTIF;;08/16/2023;Siege
10150;user00000150;Jean Dupont;PROFIL_C;06/06/2018;DESACTIVE;02/27/2023 00:00:00;05/28/2022;Agence Alpha
10151;user00000151;Marie Martin;PROFIL_D;07/16/2015;ACTIF;;10/21/2022;Agence Beta
10152;user00000152;Paul Bernard;PROFIL_A;01/05/2020;ACTIF;;10/10/2022;Agence Gamma
10153;user00000153;Sophie Thomas;PROFIL_B;04/04/2015;DESACTIVE;10/08/2024 00:00:00;07/20/2024;Agence Delta
10154;user00000154;Lucas Petit;PROFIL_C;09/13/2021;ACTIF;;08/10/2023;Siege
10155;user00000155;Emma Leroy;PROFIL_D;10/14/2021;ACTIF;;10/20/2023;Agence Alpha
10156;user00000156;Noah Moreau;PROFIL_A;10/24/2015;DESACTIVE;05/22/2022 00:00:00;04/21/2022;Agence Beta
10157;user00000157;Chloé Laurent;PROFIL_B;03/08/2015;ACTIF;;09/03/2022;Agence Gamma
10158;user00000158;Liam Simon;PROFIL_C;01/14/2016;ACTIF;;12/20/2023;Agence Delta
10159;user00000159;Jade Michel;PROFIL_D;05/02/2018;DESACTIVE;12/28/2023 00:00:00;05/23/2022;Siege
10160;user00000160;Jean Dupont;PROFIL_A;02/22/2018;ACTIF;;05/26/2022;Agence Alpha
10161;user00000161;Marie Martin;PROFIL_B;11/19/2021;ACTIF;;04/14/2024;Agence Beta
10162;user00000162;Paul Bernard;PROFIL_C;09/08/2015;DESACTIVE;02/02/2022 00:00:00;03/09/2024;Agence Gamma
10163;user00000163;Sophie Thomas;PROFIL_D;05/20/2016;ACTIF;;10/10/2024;Agence Delta
10164;user00000164;Lucas Petit;PROFIL_A;02/15/2018;ACTIF;;05/23/2024;Siege
10165;user00000165;Emma Leroy;PROFIL_B;05/17/2018;DESACTIVE;10/02/2022 00:00:00;08/15/2024;Agence Alpha
10166;user00000166;Noah Moreau;PROFIL_C;12/11/2018;ACTIF;;05/01/2024;Agence Beta
10167;user00000167;Chloé Laurent;PROFIL_D;04/22/2015;ACTIF;;10/01/2024;Agence Gamma
10168;user00000168;Liam Simon;PROFIL_A;11/27/2021;DESACTIVE;08/17/2022 00:00:00;10/02/2023;Agence Delta
10169;user00000169;Jade Michel;PROFIL_B;08/09/2020;ACTIF;;10/14/2022;Siege
10170;user00000170;Jean Dupont;PROFIL_C;08/03/2020;ACTIF;;06/14/2023;Agence Alpha
10171;user00000171;Marie Martin;PROFIL_D;06/22/2017;DESACTIVE;12/16/2023 00:00:00;03/11/2022;Agence Beta
10172;user00000172;Paul Bernard;PROFIL_A;11/13/2017;ACTIF;;01/15/2024;Agence Gamma
10173;user00000173;Sophie Thomas;PROFIL_B;06/09/2015;ACTIF;;02/25/2023;Agence Delta
10174;user00000174;Lucas Petit;PROFIL_C;09/27/2018;DESACTIVE;08/14/2024 00:00:00;11/28/2022;Siege
10175;user00000175;Emma Leroy;PROFIL_D;04/17/2015;ACTIF;;10/25/2023;Agence Alpha
10176;user00000176;Noah Moreau;PROFIL_A;11/15/2018;ACTIF;;04/09/2022;Agence Beta
10177;user00000177;Chloé Laurent;PROFIL_B;03/10/2019;DESACTIVE;01/21/2022 00:00:00;12/16/2023;Agence Gamma
10178;user00000178;Liam Simon;PROFIL_C;04/23/2019;ACTIF;;05/18/2022;Agence Delta
10179;user00000179;Jade Michel;PROFIL_D;09/14/2015;ACTIF;;04/27/2022;Siege
10180;user00000180;Jean Dupont;PROFIL_A;08/04/2015;DESACTIVE;05/17/2024 00:00:00;03/16/2024;Agence Alpha
10181;user00000181;Marie Martin;PROFIL_B;05/14/2020;ACTIF;;08/08/2023;Agence Beta
10182;user00000182;Paul Bernard;PROFIL_C;09/05/2018;ACTIF;;04/20/2023;Agence Gamma
10183;user00000183;Sophie Thomas;PROFIL_D;12/05/2019;DESACTIVE;06/26/2023 00:00:00;05/25/2022;Agence Delta
10184;user00000184;Lucas Petit;PROFIL_A;05/27/2019;ACTIF;;05/24/2022;Siege
10185;user00000185;Emma Leroy;PROFIL_B;10/19/2017;ACTIF;;08/28/2024;Agence Alpha
10186;user00000186;Noah Moreau;PROFIL_C;08/18/2016;DESACTIVE;09/13/2024 00:00:00;06/11/2023;Agence Beta
10187;user00000187;Chloé Laurent;PROFIL_D;06/28/2018;ACTIF;;12/08/2022;Agence Gamma
10188;user00000188;Liam Simon;PROFIL_A;07/08/2019;ACTIF;;01/11/2023;Agence Delta
10189;user00000189;Jade Michel;PROFIL_B;08/23/2020;DESACTIVE;03/16/2024 00:00:00;07/22/2023;Siege
10190;user00000190;Jean Dupont;PROFIL_C;03/17/2015;ACTIF;;06/28/2024;Agence Alpha
10191;user00000191;Marie Martin;PROFIL_D;08/04/2015;ACTIF;;08/01/2024;Agence Beta
10192;user00000192;Paul Bernard;PROFIL_A;03/14/2020;DESACTIVE;05/11/2023 00:00:00;03/03/2024;Agence Gamma
10193;user00000193;Sophie Thomas;PROFIL_B;12/13/2019;ACTIF;;02/28/2024;Agence Delta
10194;user00000194;Lucas Petit;PROFIL_C;11/28/2017;ACTIF;;07/11/2024;Siege
10195;user00000195;Emma Leroy;PROFIL_D;12/25/2020;DESACTIVE;02/08/2024 00:00:00;09/02/2023;Agence Alpha
10196;user00000196;Noah Moreau;PROFIL_A;11/10/2020;ACTIF;;12/03/2022;Agence Beta
10197;user00000197;Chloé Laurent;PROFIL_B;02/25/2018;ACTIF;;12/28/2024;Agence Gamma
10198;user00000198;Liam Simon;PROFIL_C;08/06/2015;DESACTIVE;06/26/2022 00:00:00;05/01/2024;Agence Delta
10199;user00000199;Jade Michel;PROFIL_D;05/12/2015;ACTIF;;07/05/2023;Siege
